,Hashtag,Count
0,sexism,327
1,white,238
2,racism,193
3,red,48
4,misandry,37
5,rights,37
6,black,37
7,women,37
8,mgtow,36
9,mra,36
10,mens,36
11,pill,36
12,timesup,32
13,feminism,32
14,trump,31
15,dating,30
16,marriage,30
17,male,30
18,sexist,29
19,men,29
20,green,27
21,orange,27
22,metoo,24
23,support,23
24,divorce,22
25,court,22
26,resist,22
27,family,21
28,himtoo,20
29,child,20
30,misogyny,19
31,trumpclown,19
32,separated,18
33,benefits,17
34,ageism,16
35,manosphere,15
36,brown,15
37,friends,14
38,equality,14
39,herbivore,13
40,grey,13
41,moron,13
42,break,12
43,colonialism,12
44,woman,12
45,cult45,12
46,cheating,11
47,hair,11
48,auspol,11
49,love,11
50,morongopvoters,11
51,lisalaflamme,10
52,supremacy,10
53,mindlessfollowers,10
54,privilege,9
55,feminist,9
56,blm,9
57,america,9
58,racist,9
59,lisa,9
60,female,9
61,homophobia,9
62,indian,9
63,drinkthekoolaid,9
64,sexual,8
65,hate,8
66,whitesupremacy,8
67,gender,8
68,patriarchy,8
69,michaelmelling,8
70,discrimination,8
71,art,8
72,man,8
73,police,7
74,race,7
75,republicans,7
76,sheriff,6
77,christian,6
78,people,6
79,violence,6
80,ctv,6
81,workplace,6
82,workplaceculture,6
83,lgbt,6
84,society,6
85,beautiful,6
86,hatred,6
87,british,5
88,sa,5
89,usa,5
90,funny,5
91,lgbtq,5
92,democrats,5
93,xenophobia,5
94,gay,5
95,skin,5
96,consumerism,5
97,bigotry,5
98,andrewneil,5
99,jeremyvine,5
100,laurakunsberg,5
101,whiteprivilege,5
102,holocaustmemorialday,5
103,sjw,5
104,poc,5
105,beauty,5
106,assault,4
107,mengoingtheirownway,4
108,slavery,4
109,breakup,4
110,jobs,4
111,life,4
112,ctvnews,4
113,god,4
114,justice,4
115,brutality,4
116,asian,4
117,classism,4
118,old,4
119,no,4
120,american,4
121,suprematism,4
122,wasp,4
123,activism,4
124,apartheid,4
125,news,4
126,peace,4
127,education,4
128,climate,4
129,world,4
130,girl,4
131,africa,4
132,aaa,4
133,bbb,4
134,ogn,4
135,nin,4
136,colonisation,4
137,femininity,4
138,repugnancy,4
139,narcissism,4
140,christians,4
141,fight,3
142,food,3
143,kitchen,3
144,comedy,3
145,liberals,3
146,biases,3
147,bias,3
148,ableism,3
149,nazism,3
150,only,3
151,evangelicals,3
152,bellmedia,3
153,males,3
154,gop,3
155,indogreek,3
156,false,3
157,prophets,3
158,2ndcometh,3
159,proved,3
160,barbaric,3
161,stands,3
162,straight,3
163,blackhistorymonth,3
164,genderbias,3
165,fear,3
166,streetphotography,3
167,agitprop,3
168,stilllife,3
169,yellow,3
170,conceptualphotography,3
171,conceptphoto,3
172,advertising,3
173,guilt,3
174,time,3
175,india,3
176,wealthy,3
177,politics,3
178,swearinginceremony,3
179,relocate,3
180,rural,3
181,state,3
182,beachlife,3
183,identitypolitics,3
184,purple,3
185,pink,3
186,football,3
187,conservative,3
188,economic,3
189,anxiety,3
190,hiring,3
191,religion,3
192,asia,3
193,cosmetic,3
194,house,3
195,differences,3
196,hookup,2
197,cop,2
198,meghanmarkle,2
199,transphobia,2
200,trans,2
201,americans,2
202,nationalist,2
203,hostility,2
204,immigrants,2
205,colonial,2
206,kkk,2
207,democracy,2
208,humanrights,2
209,woke,2
210,dei,2
211,stereotypes,2
212,ally,2
213,protest,2
214,allowed,2
215,fans,2
216,fascism,2
217,lisalaflammegrey,2
218,campaign,2
219,history,2
220,sexuality,2
221,destory,2
222,humanity,2
223,extinction,2
224,english,2
225,indigenous,2
226,intersectionality,2
227,react,2
228,trumpism,2
229,rape,2
230,putin,2
231,retweet,2
232,streetscene,2
233,summertime,2
234,streetads,2
235,publicity,2
236,advertisement,2
237,sikh,2
238,young,2
239,nationalism,2
240,labels,2
241,apple,2
242,cis,2
243,streetart,2
244,gatukonststockholm,2
245,blacklivesmatter,2
246,loveyourself,2
247,free,2
248,bikes,2
249,highschool,2
250,girls,2
251,bikesnotbombs,2
252,election,2
253,colourphotography,2
254,empowerment,2
255,whitemen,2
256,culture,2
257,color,2
258,shithole,2
259,country,2
260,president,2
261,calling,2
262,countries,2
263,thing,2
264,ignorance,2
265,problem,2
266,course,2
267,today,2
268,lol,2
269,kavanaugh,2
270,napowrimo2019,2
271,crapowski,2
272,poem,2
273,poems,2
274,womanempowerment,2
275,she,2
276,capitalist,2
277,meat,2
278,dairy,2
279,egg,2
280,speciesism,2
281,religionism,2
282,paganforever,2
283,pagan,2
284,hollywood,2
285,islamophobia,2
286,video,2
