,Word,Count
0,men,36
1,woman,27
2,white,24
3,need,21
4,people,19
5,like,19
6,good,19
7,go,18
8,one,17
9,time,17
10,get,15
11,make,15
12,say,15
13,group,14
14,know,14
15,male,13
16,see,13
17,would,12
18,end,11
19,also,10
20,president,10
21,stop,10
22,n,10
23,really,9
24,base,9
25,support,9
26,gap,9
27,carry,9
28,day,9
29,face,9
30,black,9
31,u,8
32,try,8
33,truth,8
34,many,8
35,racism,8
36,work,8
37,racist,8
38,leave,8
39,wait,8
40,ex,7
41,experience,7
42,trump,7
43,take,7
44,via,7
45,colonization,7
46,use,7
47,ruler,7
48,privilege,7
49,must,7
50,pay,7
51,still,7
52,b,6
53,keep,6
54,w,6
55,life,6
56,thing,6
57,tell,6
58,everything,6
59,change,6
60,man,6
61,supremacy,6
62,r,6
63,anti,6
64,especially,6
65,high,6
66,united,6
67,negative,6
68,house,6
69,pure,6
70,vote,6
71,racial,5
72,mistreatment,5
73,well,5
74,bad,5
75,discipline,5
76,point,5
77,movement,5
78,hate,5
79,charge,5
80,cause,5
81,believe,5
82,two,5
83,gender,5
84,could,5
85,terrible,5
86,give,5
87,lot,5
88,even,5
89,open,5
90,talk,5
91,think,5
92,jail,5
93,every,5
94,come,5
95,exactly,5
96,look,5
97,medium,5
98,since,4
99,young,4
100,climate,4
101,find,4
102,bell,4
103,making,4
104,run,4
105,another,4
106,mind,4
107,love,4
108,matter,4
109,ingrained,4
110,inspire,4
111,justice,4
112,nightmare,4
113,infinity,4
114,read,4
115,wrong,4
116,series,4
117,lead,4
118,trash,4
119,stand,4
120,society,4
121,femininity,4
122,past,4
123,social,4
124,female,4
125,different,4
126,turn,4
127,feminist,4
128,culture,4
129,long,4
130,vice,3
131,joke,3
132,best,3
133,let,3
134,blame,3
135,platform,3
136,do,3
137,mostly,3
138,great,3
139,pending,3
140,represent,3
141,fake,3
142,statement,3
143,enough,3
144,damn,3
145,sexual,3
146,article,3
147,deep,3
148,grasp,3
149,vouch,3
150,understand,3
151,mite,3
152,show,3
153,yes,3
154,everyone,3
155,however,3
156,uneducate,3
157,government,3
158,ever,3
159,much,3
160,truly,3
161,live,3
162,trope,3
163,respect,3
164,promote,3
165,separate,3
166,question,3
167,politics,3
168,la,3
169,daily,3
170,top,3
171,yet,3
172,new,3
173,sad,3
174,development,3
175,anything,3
176,deserve,3
177,rather,3
178,bread,3
179,class,3
180,human,3
181,hey,3
182,away,3
183,likely,3
184,body,3
185,put,3
186,right,3
187,next,3
188,hatred,3
189,real,3
190,grow,3
191,way,3
192,otherwise,3
193,hard,3
194,data,3
195,week,3
196,woke,3
197,serve,3
198,sick,2
199,hum,2
200,treat,2
201,start,2
202,behavior,2
203,print,2
204,soil,2
205,experienced,2
206,air,2
207,anybody,2
208,stupid,2
209,whether,2
210,slip,2
211,trashy,2
212,hear,2
213,clear,2
214,thanks,2
215,state,2
216,fine,2
217,constructive,2
218,tonight,2
219,exist,2
220,pretend,2
221,wage,2
222,line,2
223,scum,2
224,voting,2
225,fact,2
226,clown,2
227,republican,2
228,basis,2
229,response,2
230,average,2
231,straw,2
232,employee,2
233,horrific,2
234,decisively,2
235,saying,2
236,true,2
237,operate,2
238,never,2
239,watch,2
240,totally,2
241,consume,2
242,color,2
243,remember,2
244,enable,2
245,l,2
246,trompe,2
247,overwhelmingly,2
248,percent,2
249,anyone,2
250,angry,2
251,age,2
252,powerful,2
253,brown,2
254,c,2
255,party,2
256,paint,2
257,cunning,2
258,company,2
259,answer,2
260,root,2
261,non,2
262,today,2
263,drop,2
264,candidate,2
265,cannot,2
266,bias,2
267,dead,2
268,overcome,2
269,might,2
270,old,2
271,majority,2
272,inherent,2
273,place,2
274,second,2
275,suck,2
276,rest,2
277,source,2
278,ceiling,2
279,glass,2
280,poet,2
281,poem,2
282,ignorant,2
283,yeah,2
284,blue,2
285,light,2
286,better,2
287,hire,2
288,wow,2
289,seriously,2
290,entitlement,2
291,religion,2
292,power,2
293,wear,2
294,half,2
295,world,2
296,buy,2
297,needs,2
298,story,2
299,gross,2
300,student,2
301,nothing,2
302,bully,2
303,journey,2
304,amount,2
305,drive,2
306,blatant,2
307,extremist,2
308,bos,2
309,research,2
310,want,2
311,scrutiny,2
312,crew,2
313,fun,2
314,modern,2
315,refuse,2
316,despite,2
317,evidence,2
318,far,2
319,shake,2
320,star,2
321,die,2
322,always,2
323,bear,2
324,fight,2
325,overweight,2
326,test,2
327,commit,2
328,twice,2
329,first,2
330,us,2
331,write,2
332,sally,2
333,mark,2
334,unconscious,2
335,spread,2
336,globe,2
337,mail,2
338,missive,2
339,aftermath,2
340,herald,2
341,business,2
342,fire,2
343,building,2
344,become,2
345,permanent,2
346,teacher,2
347,workplace,2
348,review,2
349,wade,2
350,call,2
351,hypocrisy,2
352,bone,2
353,leader,2
354,suffer,2
355,beat,2
356,someone,2
357,hair,2
358,k,2
359,everyday,2
360,piece,2
361,within,2
362,population,2
363,page,2
364,bloke,2
365,abuse,2
366,fellow,2
367,certain,2
368,intentional,2
369,crazy,2
370,receive,2
371,money,2
372,redirect,2
373,commercial,2
374,owe,2
375,public,2
376,lose,2
377,sell,2
378,militant,2
379,single,2
380,willing,2
381,school,2
382,full,2
383,casual,2
384,reading,2
385,anyway,2
386,person,2
387,f,2
388,dont,2
389,blind,2
390,eye,2
391,term,2
392,accord,1
393,lift,1
