,Hashtag,Count
0,sexism,230
1,racism,80
2,women,62
3,instagram,62
4,genderstereotype,59
5,color,54
6,red,48
7,black,40
8,sex,38
9,rights,37
10,mgtow,36
11,mra,36
12,misandry,36
13,mens,36
14,pill,36
15,green,35
16,beauty,35
17,genderbias,34
18,news,34
19,girls,33
20,sexy,33
21,orange,32
22,blm,32
23,usa,32
24,twitter,32
25,media,32
26,america,32
27,poc,32
28,feminism,31
29,socialmedia,31
30,brazil,31
31,hot,31
32,model,31
33,beautiful,31
34,hollywood,31
35,digital,31
36,facebook,31
37,dating,30
38,marriage,30
39,timesup,30
40,sexist,26
41,divorce,22
42,metoo,22
43,family,22
44,court,22
45,gender,21
46,resist,21
47,himtoo,20
48,child,20
49,support,20
50,trumpclown,19
51,separated,18
52,benefits,17
53,manosphere,15
54,ageism,15
55,brown,15
56,friends,14
57,herbivore,13
58,grey,13
59,moron,13
60,break,12
61,colour,12
62,cult45,12
63,hair,11
64,morongopvoters,11
65,cheating,10
66,lisalaflamme,10
67,mindlessfollowers,10
68,lisa,9
69,misogyny,9
70,race,9
71,drinkthekoolaid,9
72,sexual,8
73,michaelmelling,8
74,equality,8
75,woman,8
76,nukkarnatak,8
77,badli,8
78,police,7
79,workplaceculture,7
80,un,7
81,female,7
82,sheriff,6
83,ctv,6
84,workplace,6
85,choosetochallenge,6
86,healthchamps,6
87,gendernorms,6
88,womensday2021,6
89,lgbt,6
90,sa,5
91,machismo,5
92,consumerism,5
93,white,5
94,male,5
95,iwd2021,5
96,pink,5
97,assault,4
98,mengoingtheirownway,4
99,breakup,4
100,ctvnews,4
101,womeninthefield,4
102,journalism,4
103,humanitarianaid,4
104,stress,4
105,burnout,4
106,internationalwomensday,4
107,climate,4
108,girl,4
109,love,4
110,life,4
111,feminist,4
112,stereotypes,4
113,bias,4
114,pinkforgirls,4
115,femininity,4
116,google,4
117,genderstereotypes,3
118,bellmedia,3
119,streetphotography,3
120,agitprop,3
121,stilllife,3
122,yellow,3
123,conceptualphotography,3
124,conceptphoto,3
125,art,3
126,rape,3
127,change,3
128,education,3
129,india,3
130,money,3
131,sports,3
132,religion,3
133,homophobia,3
134,peace,3
135,gay,3
136,purple,3
