Id,Label
sexism,sexism
racism,racism
instagram,instagram
women,women
color,color
red,red
sex,sex
rights,rights
mgtow,mgtow
mra,mra
misandry,misandry
mens,mens
pill,pill
green,green
beauty,beauty
news,news
black,black
girls,girls
orange,orange
blm,blm
usa,usa
twitter,twitter
media,media
america,america
sexy,sexy
feminism,feminism
socialmedia,socialmedia
poc,poc
brazil,brazil
hot,hot
model,model
beautiful,beautiful
hollywood,hollywood
digital,digital
facebook,facebook
dating,dating
marriage,marriage
timesup,timesup
sexist,sexist
divorce,divorce
metoo,metoo
family,family
court,court
resist,resist
himtoo,himtoo
child,child
support,support
trumpclown,trumpclown
separated,separated
benefits,benefits
manosphere,manosphere
friends,friends
ageism,ageism
herbivore,herbivore
grey,grey
moron,moron
break,break
colour,colour
cult45,cult45
hair,hair
morongopvoters,morongopvoters
cheating,cheating
lisalaflamme,lisalaflamme
mindlessfollowers,mindlessfollowers
lisa,lisa
genderbias,genderbias
drinkthekoolaid,drinkthekoolaid
sexual,sexual
michaelmelling,michaelmelling
woman,woman
gender,gender
race,race
police,police
sheriff,sheriff
ctv,ctv
workplace,workplace
workplaceculture,workplaceculture
equality,equality
sa,sa
consumerism,consumerism
pink,pink
lgbt,lgbt
assault,assault
mengoingtheirownway,mengoingtheirownway
breakup,breakup
ctvnews,ctvnews
climate,climate
love,love
life,life
feminist,feminist
femininity,femininity
bellmedia,bellmedia
streetphotography,streetphotography
agitprop,agitprop
stilllife,stilllife
yellow,yellow
conceptualphotography,conceptualphotography
conceptphoto,conceptphoto
art,art
rape,rape
white,white
change,change
sports,sports
girl,girl
homophobia,homophobia
peace,peace
gay,gay
purple,purple
football,football
cosmetic,cosmetic
hookup,hookup
boys,boys
cop,cop
fight,fight
transphobia,transphobia
genderstereotypes,genderstereotypes
lisalaflammegrey,lisalaflammegrey
patriarchy,patriarchy
misogyny,misogyny
react,react
streetscene,streetscene
summertime,summertime
streetads,streetads
publicity,publicity
advertising,advertising
advertisement,advertisement
election2020,election2020
blacklivesmatter,blacklivesmatter
blue,blue
humanrights,humanrights
free,free
bikes,bikes
highschool,highschool
education,education
india,india
bikesnotbombs,bikesnotbombs
world,world
colourphotography,colourphotography
xenophobia,xenophobia
religion,religion
fear,fear
lesbian,lesbian
creed,creed
womanempowerment,womanempowerment
she,she
age,age
stereotypes,stereotypes
bias,bias
gop,gop
theview,theview
passion,passion
fraud,fraud
teeth,teeth
wild,wild
brush,brush
cartoon,cartoon
makeup,makeup
music,music
alcoholism,alcoholism
classism,classism
masternarrative,masternarrative
poverty,poverty
hope,hope
clean,clean
social,social
transparency,transparency
sustainability,sustainability
welfare,welfare
assistance,assistance
reform,reform
lead,lead
fair,fair
sportsbiz,sportsbiz
buccaneers,buccaneers
nfl,nfl
womenshealth,womenshealth
augusta,augusta
club,club
condi,condi
female,female
golfer,golfer
jacket,jacket
ecosexism,ecosexism
smalldickenergy,smalldickenergy
viator,viator
travel,travel
paris,paris
redpill,redpill
kara,kara
alexander,alexander
dagenham,dagenham
murder,murder
paygap,paygap
bodypositivitymovement,bodypositivitymovement
jamie,jamie
lopez,lopez
killer,killer
criminal,criminal
judge,judge
mariel,mariel
suarez,suarez
murderer,murderer
cristian,cristian
bustos,bustos
argentina,argentina
fail,fail
childrensbook,childrensbook
illustrations,illustrations
sarahjanehale,sarahjanehale
prettybooks,prettybooks
scarce,scarce
woke,woke
army,army
military,military
recruit,recruit
navy,navy
royal,royal
air,air
force,force
recruiting,recruiting
strike,strike
marriagestrike,marriagestrike
nomarriage,nomarriage
nocohabitation,nocohabitation
with,with
day,day
fans,fans
fascism,fascism
flag,flag
leader,leader
protest,protest
requested,requested
islamophibia,islamophibia
antimuslim,antimuslim
hate,hate
physicalappearance,physicalappearance
ethnicity,ethnicity
alboforpm,alboforpm
independent,independent
climateemergency,climateemergency
federalicac,federalicac
enoughisenough,enoughisenough
auspol,auspol
ausvotes,ausvotes
ausvotes22,ausvotes22
10days,10days
benouais,benouais
reaction,reaction
reactjs,reactjs
reactos,reactos
decadent,decadent
wages,wages
wagegap,wagegap
gendercritical,gendercritical
gendergaga,gendergaga
genderneutral,genderneutral
cityscene,cityscene
reflections,reflections
summer,summer
fashion,fashion
billboards,billboards
notoracism,notoracism
colorful,colorful
astrosmiles,astrosmiles
astrology,astrology
predictions,predictions
soul,soul
roots,roots
limitededition,limitededition
sweatpants,sweatpants
canadianbrand,canadianbrand
thankyou,thankyou
bigotry,bigotry
abuseofpower,abuseofpower
entitlment,entitlment
privilege,privilege
attemptedcoup,attemptedcoup
urbanism,urbanism
trees,trees
genderquota,genderquota
soundcloud,soundcloud
np,np
vp,vp
racist,racist
hypocrisy,hypocrisy
orangetheworld,orangetheworld
orangenews,orangenews
tory,tory
dots,dots
magenta,magenta
abstractart,abstractart
gross,gross
inequality,inequality
privatisation,privatisation
covid19,covid19
poorpeople,poorpeople
democracynow,democracynow
society,society
humanity,humanity
whitesupremacy,whitesupremacy
of,of
realtalk,realtalk
bethechange,bethechange
changemakers,changemakers
flamboyant,flamboyant
criticalmass,criticalmass
bicycles,bicycles
bike,bike
biking,biking
cyclists,cyclists
mobility,mobility
sustainabliity,sustainabliity
transport,transport
school,school
liberation,liberation
government,government
visionzero,visionzero
slavery,slavery
homosexuality,homosexuality
transgenders,transgenders
evolve,evolve
sentientbeings,sentientbeings
planet,planet
election,election
voting,voting
vote,vote
